station_id,station_id_3digit,station_code,guide_number,name_zh-hant,name_zh-hans,name_en,name_ko,name_ko_pinyin,name_ja,note_zh-hant,note_zh-hans,note_en,type,system,ipt_data_code
242,242,2118,21 18,朱村,朱村,Zhucun,주촌,주춘,朱村,,,,metro_station,gzmtr,8211263H9B42
243,243,2119,21 19,山田,山田,Shantian,산전,산톈,山田,,,,metro_station,gzmtr,5234114I60KM
244,244,2117,21 17,鳳崗,凤岗,Fenggang,봉강,펑강,鳳崗,,,,metro_station,gzmtr,00608970JOW0
245,245,2116,21 16,坑貝,坑贝,Kengbei,갱패,컹베이,坑貝,,,,metro_station,gzmtr,294851319AIA
246,246,2115,21 15,中新,中新,Zhongxin,중신,중신,中新,,,,metro_station,gzmtr,5698035FL082
247,247,2113,21 13,鎮龍西,镇龙西,Zhenlongxi,진룡서,전룽시,鎮竜西,,,,metro_station,gzmtr,723032406VCY
248,248,2102,21 02,天河公園,天河公园,Tianhe Park,톈허공원,톈허궁위안,天河公園,,,,metro_station,gzmtr,1363181PIEJ3
249,249,2103,21 03,棠東,棠东,Tangdong,당동,탕둥,棠東,,,,metro_station,gzmtr,7954377L8M70
250,250,2104,21 05,大觀南路,大观南路,Daguan Nanlu,대관남로,다관난루,大観南路,,,,metro_station,gzmtr,4339325Z0I2J
251,251,2105,21 06,天河智慧城,天河智慧城,Tianhe Smart City,톈허스마트시티,톈허즈후이청,天河智慧城,,,,metro_station,gzmtr,62479036KR1C
252,252,2106,21 07,神舟路,神舟路,Shenzhou Lu,신주로,선저우루,神舟路,,,,metro_station,gzmtr,0825568OBOUB
253,253,2107,21 08,科學城,科学城,Science City,과학성,커쉐청,科学城,,,,metro_station,gzmtr,3975789JA3PL
254,254,2108,21 10,水西,水西,Shuixi,수서,수이시,水西,,,,metro_station,gzmtr,41044441DFQC
255,255,2109,21 11,長平,长平,Changping,장평,창핑,長平,,,,metro_station,gzmtr,1621760XZ8MG
256,256,2110,21 12,金坑,金坑,Jinkeng,금갱,진컹,金坑,,,,metro_station,gzmtr,0626741943F1
257,257,0813,8 15,同福西,同福西,Tongfuxi,동북서,퉁푸시,同福西,,,,metro_station,gzmtr,2249076T15JK
258,258,0811,8 13,華林寺,华林寺,Hualinsi Buddhist Temple,화림사,화린쓰,華林寺,,,,metro_station,gzmtr,6369625CEVLO
260,260,0806,8 08,同德,同德,Tongde,동덕,퉁더,同徳,,,,metro_station,gzmtr,9365613VPU7V
261,261,0805,8 07,上步,上步,Shangbu,상보,상부,上歩,,,,metro_station,gzmtr,1976978JZSGM
263,263,0803,8 05,石潭,石潭,Shitan,석담,스탄,石潭,,,,metro_station,gzmtr,9670489ALYZU
264,264,0802,8 04,小坪,小坪,Xiaoping,소평,샤오핑,小坪,,,,metro_station,gzmtr,30046346EDO9
265,265,0801,8 03,石井,石井,Shijing,석정,스징,石井,,,,metro_station,gzmtr,0143256P5ZPJ
266,266,0827,8 02,亭崗,亭岗,Tinggang,정강,팅강,亭崗,,,,metro_station,gzmtr,7023376U6SOI
267,267,0828,8 01,滘心,滘心,Jiaoxin,교심,자어신,キョウ心,,,,metro_station,gzmtr,6638065GQ214
268,268,0807,8 09,鵝掌坦,鹅掌坦,Ezhangtan,아장탄,어장탄,鵝掌坦,,,,metro_station,gzmtr,8218307OU1S7
269,269,0804,8 06,聚龍,聚龙,Julong,취룡,쥐룽,聚竜,,,,metro_station,gzmtr,3548955K9CXL
270,270,1802,18 08,冼村,冼村,Xiancun,승촌,셴춘,冼村,,,,metro_station,gzmtr,4237195SGJ62
271,271,1804,18 06,龍潭,龙潭,Longtan,용담,룽탄,竜潭,,,,metro_station,gzmtr,158011987TJ8
272,272,1805,18 05,沙溪,沙溪,Shaxi,사계,사시,沙渓,,,,metro_station,gzmtr,26452356684F
273,273,1808,18 02,橫瀝,横沥,Hengli,횡력,헝리,横瀝,,,,metro_station,gzmtr,59728807IUMG
274,274,1809,18 01,萬頃沙,万顷沙,Wanqingsha,만경사,완칭사,万頃沙,,,,metro_station,gzmtr,1253341KA9NV
275,275,2202,22 02,市廣路,市广路,Shiguang Lu,시광로,스광루,市広路,未開通,未开通,Under construction,metro_station,gzmtr,
276,276,2204,22 04,陳頭崗,陈头岗,Chentougang,진두강,천터우강,陳頭崗,未開通,未开通,Under construction,metro_station,gzmtr,
277,277,90--,THP1 01,地鐵香雪站,地铁香雪站,Xiangxue Metro Station,향설역,디톄샹쉐잔,香雪駅,,,,tram_station,gztram,7866133WYPW9
278,278,90--,THP1 02,區少年宮(蘿崗),区少年宫(萝岗),Huangpu Children’s Palace Luogang Branch,구소년궁(나강),취사오녠궁(뤄강),区少年宮(蘿崗),,,,tram_station,gztram,8923137PFG8Y
279,279,90--,THP1 03,綫坑,线坑,Xiankeng,선갱,셴컹,線坑,,,,tram_station,gztram,6637943ZPFZ8
280,280,90--,THP1 04,市民廣場,市民广场,Civic Square,시민광장,스민광창,市民広場,,,,tram_station,gztram,1875911FKANE
281,281,90--,THP1 05,會議中心,会议中心,Convention Center,회의센터,후이이중신,会議中心,,,,tram_station,gztram,3616228QWBNF
282,282,90--,THP1 06,地鐵水西站,地铁水西站,Shuixi Metro Station,수서역,디톄수이시잔,水西駅,,,,tram_station,gztram,3072556KNYIL
283,283,90--,THP1 07,峻泰路,峻泰路,Juntai Lu,준태로,쥔타이루,峻泰路,,,,tram_station,gztram,44354550I0S0
284,284,90--,THP1 09,北師大實驗學校,北师大实验学校,Guangzhou Experiment School Affliated to BNU,북사대실험학교,베이스다스옌쉐샤오,北師大実験学校,,,,tram_station,gztram,3661795BZPSW
285,285,90--,THP1 10,地鐵長平站,地铁长平站,Changping Metro Station,장평역,디톄창핑잔,長平駅,,,,tram_station,gztram,51942333W5FI
286,286,90--,THP1 11,羌洞,羌洞,Qiangdong,강동,챵둥,羌洞,,,,tram_station,gztram,080276580FY8
287,287,90--,THP1 12,長嶺居小學,长岭居小学,Changlingju Primary School,장령거초등학교,창링쥐샤오쉐,長嶺居小學,,,,tram_station,gztram,57094754RUHB
288,288,90--,THP1 13,嶺頭,岭头,Lingtou,영두,링터우,嶺頭,,,,tram_station,gztram,6586717CFGEI
289,289,90--,THP1 14,幹部健康中心,干部健康中心,Guangzhou Cadre Health Management Center,간부건강센터,간부졘캉중신,幹部健康中心,,,,tram_station,gztram,52781317D0HD
290,290,90--,THP1 15,嶺頭東,岭头东,Lingtou East,영두동,링터우둥,嶺頭東,,,,tram_station,gztram,8815180BDYMI
291,291,90--,THP1 16,賢江西,贤江西,Xianjiang West,현강서,셴장시,賢江西,,,,tram_station,gztram,9020714FEI28
292,292,90--,THP1 17,賢江公園,贤江公园,Xianjiang Park,현강공원,셴장궁위안,賢江公園,,,,tram_station,gztram,3634565KHKBZ
293,293,90--,THP1 18,賢江,贤江,Xianjiang,현강,셴장,賢江,,,,tram_station,gztram,0494363LMWIC
